name	party	constituency	twitter_handle	twitter_id	gender	orientation	ethnicity	country
Jennifer Murnane-O'Connor	Fianna Fáil	Carlow–Kilkenny	JenMurnaneOConn	857988043109748736	female			Ireland
John J. McGuinness	Fianna Fáil	Carlow–Kilkenny	JMcGuinnessTD	248901045	male			Ireland
John Paul Phelan	Fine Gael	Carlow–Kilkenny	JPPhelan	19964133	male			Ireland
Kathleen Funchion	Sinn Féin	Carlow–Kilkenny	Kathleensf1	3004038711	female			Ireland
Malcolm Noonan	Green Party	Carlow–Kilkenny	noonan_malcolm	878273203617099776	male			Ireland
Brendan Smith	Fianna Fáil	Cavan–Monaghan	BrendanSmithTD	430714461	male			Ireland
Heather Humphreys	Fine Gael	Cavan–Monaghan	HHumphreysFG	2791733978	female			Ireland
Matt Carthy	Sinn Féin	Cavan–Monaghan	mattcarthy	26586771	male			Ireland
Niamh Smyth	Fianna Fáil	Cavan–Monaghan	NiamhSmythTD	740126187192786944	female			Ireland
Pauline Tully	Sinn Féin	Cavan–Monaghan	PaulineTullyTD	1153424418015780865	female			Ireland
Cathal Crowe	Fianna Fáil	Clare	CathalCroweTD	28364382	male			Ireland
Joe Carey	Fine Gael	Clare	joecareytd	135877820	male			Ireland
Michael McNamara	independent politician	Clare	MlMcNamaraTD	246966794	male			Ireland
Violet-Anne Wynne	Sinn Féin	Clare	WynneTd	1256598627239198722	female			Ireland
David Stanton	Fine Gael	Cork East	davidstantontd	104578228	male			Ireland
James O'Connor	Fianna Fáil	Cork East	JamesOConnorTD	512612664	male			Ireland
Pat Buckley	Sinn Féin	Cork East	patbuckleysfme	725582418615373824	male			Ireland
Seán Sherlock	Labour Party	Cork East	seansherlocktd	74979783	male			Ireland
Colm Burke	Fine Gael	Cork North–Central	ColmBurkeTD	322549346	male			Ireland
Mick Barry	Solidarity–People Before Profit	Cork North–Central	MickBarryTD	2575040162	male			Ireland
Padraig O'Sullivan	Fianna Fáil	Cork North–Central	padraigosull	224316754	male			Ireland
Thomas Gould	Sinn Féin	Cork North–Central	ThomasGouldSF	2535265746	male			Ireland
Aindrias Moynihan	Fianna Fáil	Cork North–West	AindriasMoynih1	4047353597	male			Ireland
Michael Creed	Fine Gael	Cork North–West	creedcnw	386584224	male			Ireland
Michael Moynihan	Fianna Fáil	Cork North–West	mmoynihantd	3964447823	male			Ireland
Donnchadh Ó Laoghaire	Sinn Féin	Cork South–Central	Donnchadhol	20936855	male			Ireland
Michael McGrath	Fianna Fáil	Cork South–Central	mmcgrathtd	2805902511	male			Ireland
Micheál Martin	Fianna Fáil	Cork South–Central	MichealMartinTD	114007914	male			Ireland
Simon Coveney	Fine Gael	Cork South–Central	simoncoveney	118999126	male			Ireland
Christopher O'Sullivan	Fianna Fáil	Cork South–West	COSullivanTD	273626909	male			Ireland
Holly Cairns	Social Democrats	Cork South–West	HollyCairnsTD	558077735	female			Ireland
Michael Collins	independent politician	Cork South–West	michaelc_ind_td	737618008827301896	male			Ireland
Charlie McConalogue	Fianna Fáil	Donegal	McConalogue	197897890	male			Ireland
Joe McHugh	Fine Gael	Donegal	McHughJoeTD	236912210	male			Ireland
Pearse Doherty	Sinn Féin	Donegal	PearseDoherty	68690605	male			Ireland
Pádraig Mac Lochlainn	Sinn Féin	Donegal	PadraigMacL	496338650	male			Ireland
Thomas Pringle	independent politician	Donegal	ThomasPringleTD	253184868	male			Ireland
Aodhán Ó Ríordáin	Labour Party	Dublin Bay North	AodhanORiordain	120117254	male			Ireland
Cian O'Callaghan	Social Democrats	Dublin Bay North	OCallaghanCian	127903938	male			Ireland
Denise Mitchell	Sinn Féin	Dublin Bay North	DMitchellTD	3309194513	female			Ireland
Richard Bruton	Fine Gael	Dublin Bay North	RichardbrutonTD	237376611	male			Ireland
Seán Haughey	Fianna Fáil	Dublin Bay North	sean_haughey	507910843	male			Ireland
Chris Andrews	Sinn Féin	Dublin Bay South	chrisandrews64	126603446	male			Ireland
Eamon Ryan	Green Party	Dublin Bay South	EamonRyan	22005625	male			Ireland
Ivana Bacik	Labour Party	Dublin Bay South	ivanabacik	39325505	female			Ireland
Jim O'Callaghan	Fianna Fáil	Dublin Bay South	OCallaghanJim	2845365802	male			Ireland
Gary Gannon	Social Democrats	Dublin Central	GaryGannonTD	478789007	male			Ireland
Mary Lou McDonald	Sinn Féin	Dublin Central	MaryLouMcDonald	148872468	female			Ireland
Neasa Hourigan	Green Party	Dublin Central	neasa_neasa	2347393720	female			Ireland
Paschal Donohoe	Fine Gael	Dublin Central	Paschald	19735329	male			Ireland
Alan Farrell	Fine Gael	Dublin Fingal	AlanFarrell	39472243	male			Ireland
Darragh O'Brien	Fianna Fáil	Dublin Fingal	DarraghOBrienTD	195697781	male			Ireland
Duncan Smith	Labour Party	Dublin Fingal	DuncanSmithTD	176373211	male			Ireland
Joe O'Brien	Green Party	Dublin Fingal	joefingalgreen	706733654	male			Ireland
Louise O'Reilly	Sinn Féin	Dublin Fingal	loreillysf	3123373653	female			Ireland
Emer Higgins	Fine Gael	Dublin Mid–West	EmerHigginsTD	830145551421280256	female			Ireland
Eoin Ó Broin	Sinn Féin	Dublin Mid–West	EOBroin	166173280	male			Ireland
Gino Kenny	Solidarity–People Before Profit	Dublin Mid–West	Ginosocialist	23322325	male			Ireland
Mark Ward	Sinn Féin	Dublin Mid–West	Wardy1916	247506610	male			Ireland
Dessie Ellis	Sinn Féin	Dublin North–West	cllrdessieellis	157410826	male			Ireland
Paul McAuliffe	Fianna Fáil	Dublin North–West	PaulMcauliffe	29110219	male			Ireland
Róisín Shortall	Social Democrats	Dublin North–West	RoisinShortall	78026748	female			Ireland
Catherine Martin	Green Party	Dublin Rathdown	cathmartingreen	1179033048	female			Ireland
Josepha Madigan	Fine Gael	Dublin Rathdown	josephamadigan	2154117425	female			Ireland
Neale Richmond	Fine Gael	Dublin Rathdown	nealerichmond	239555645	male			Ireland
Aengus Ó Snodaigh	Sinn Féin	Dublin South–Central	aosnodaigh	82645739	male			Ireland
Bríd Smith	Solidarity–People Before Profit	Dublin South–Central	bridsmithTD	124269402	female			Ireland
Joan Collins	Right To Change	Dublin South–Central	JoanCollinsTD	361335767	female			Ireland
Patrick Costello	Green Party	Dublin South–Central	Costellop	207969912	male			Ireland
Colm Brophy	Fine Gael	Dublin South–West	brophytalks	186394987	male			Ireland
Francis Noel Duffy	Green Party	Dublin South–West	FNDuffy	247541948	male			Ireland
John Lahart	Fianna Fáil	Dublin South–West	JohnLahart	85170762	male			Ireland
Paul Murphy	Solidarity–People Before Profit	Dublin South–West	paulmurphy_TD	270850017	male			Ireland
Seán Crowe	Sinn Féin	Dublin South–West	SeanCroweTD	1097860584	male			Ireland
Jack Chambers	Fianna Fáil	Dublin West	jackfchambers	192260630	male			Ireland
Leo Varadkar	Fine Gael	Dublin West	LeoVaradkar	229466877	male	lgbt		Ireland
Paul Donnelly	Sinn Féin	Dublin West	PaulDonnellySF	219297099	male			Ireland
Roderic O'Gorman	Green Party	Dublin West	rodericogorman	18287940	male	lgbt		Ireland
Cormac Devlin	Fianna Fáil	Dún Laoghaire	CormacDevlin	54605067	male			Ireland
Jennifer Carroll MacNeill	Fine Gael	Dún Laoghaire	CarrollJennifer	237707902	female			Ireland
Ossian Smyth	Green Party	Dún Laoghaire	smytho	116560657	male			Ireland
Richard Boyd Barrett	Solidarity–People Before Profit	Dún Laoghaire	RBoydBarrett	236377912	male			Ireland
Anne Rabbitte	Fianna Fáil	Galway East	AnneRabbitte	2227385384	female			Ireland
Ciarán Cannon	Fine Gael	Galway East	ciarancannon	20586381	male			Ireland
Seán Canney	independent politician	Galway East	SeanCanney	2333746914	male			Ireland
Catherine Connolly	independent politician	Galway West	catherinegalway	196551540	female			Ireland
Hildegarde Naughton	Fine Gael	Galway West	1Hildegarde	181303066	female			Ireland
Mairéad Farrell	Sinn Féin	Galway West	farrell_mairead	261805836	female			Ireland
Noel Grealish	independent politician	Galway West			male			Ireland
Éamon Ó Cuív	Fianna Fáil	Galway West	eamonocuiv	81844092	male			Ireland
Brendan Griffin	Fine Gael	Kerry	BGriffinTD	192341330	male			Ireland
Danny Healy-Rae	independent politician	Kerry			male			Ireland
Michael Healy-Rae	independent politician	Kerry	MHealyRae	346630615	male			Ireland
Norma Foley	Fianna Fáil	Kerry	NormaFoleyTD1	1263806988481421314	female			Ireland
Pa Daly	Sinn Féin	Kerry			male			Ireland
Bernard Durkan	Fine Gael	Kildare North	BernardDurkanTD	228774722	male			Ireland
Catherine Murphy	Social Democrats	Kildare North	CathMurphyTD	190987689	female			Ireland
James Lawless	Fianna Fáil	Kildare North	lawlessj	18492194	male			Ireland
Réada Cronin	Sinn Féin	Kildare North	ReadaCronin	361559966	female			Ireland
Cathal Berry	independent politician	Kildare South	berrycathal	1117396183222235136	male			Ireland
Martin Heydon	Fine Gael	Kildare South	martinheydonfg	137363410	male			Ireland
Patricia Ryan	Sinn Féin	Kildare South			female			Ireland
Seán Ó Fearghaíl	Fianna Fáil	Kildare South	SOFearghail_TD	2433459918	male			Ireland
Barry Cowen	Fianna Fáil	Laois–Offaly	CowenBarry	432054563	male			Ireland
Brian Stanley	Sinn Féin	Laois–Offaly	BrianStanleySF	1366795272211300360	male			Ireland
Carol Nolan	independent politician	Laois–Offaly	CNolanOffaly	3360716968	female			Ireland
Charles Flanagan	Fine Gael	Laois–Offaly	CharlieFlanagan	87471013	male			Ireland
Seán Fleming	Fianna Fáil	Laois–Offaly	SeanFlemingTD	960867485623963649	male			Ireland
Brian Leddin	Green Party	Limerick City	BrianLeddin	126008267	male			Ireland
Kieran O'Donnell	Fine Gael	Limerick City	kodonnellLK	740599546343006209	male			Ireland
Maurice Quinlivan	Sinn Féin	Limerick City	QuinlivanTD	212555476	male			Ireland
Willie O'Dea	Fianna Fáil	Limerick City	willieodeaLIVE	211231464	male			Ireland
Niall Collins	Fianna Fáil	Limerick County	NiallCollinsTD	172749267	male			Ireland
Patrick O'Donovan	Fine Gael	Limerick County	podonovan	70205816	male			Ireland
Richard O'Donoghue	independent politician	Limerick County	richardodonoghu	2243998753	male			Ireland
Joe Flaherty	Fianna Fáil	Longford–Westmeath	joefla	241286535	male			Ireland
Peter Burke	Fine Gael	Longford–Westmeath	peterburkefg	242365407	male			Ireland
Robert Troy	Fianna Fáil	Longford–Westmeath	RobertTroyTD	330904433	male			Ireland
Sorca Clarke	Sinn Féin	Longford–Westmeath	SorcaClarke_TD	1216345275834433537	female			Ireland
Fergus O'Dowd	Fine Gael	Louth	Fergusodowd	22983594	male			Ireland
Gerald Nash	Labour Party	Louth	geraldnash	23781227	male			Ireland
Imelda Munster	Sinn Féin	Louth	ImeldaMunster	1676201586	female			Ireland
Peter Fitzpatrick	independent politician	Louth	PFitzpatrickTD	244156314	male			Ireland
Ruairí Ó Murchú	Sinn Féin	Louth	ROMurchu	313595663	male			Ireland
Alan Dillon	Fine Gael	Mayo	Alan_Dillon	177266455	male			Ireland
Dara Calleary	Fianna Fáil	Mayo	daracalleary	67268150	male			Ireland
Michael Ring	Fine Gael	Mayo			male			Ireland
Rose Conway-Walsh	Sinn Féin	Mayo	conwaywalsh	156974826	female			Ireland
Darren O'Rourke	Sinn Féin	Meath East	orourke_darren	298561399	male			Ireland
Helen McEntee	Fine Gael	Meath East	HMcEntee	38000023	female			Ireland
Thomas Byrne	Fianna Fáil	Meath East	ThomasByrneTD	32922034	male			Ireland
Damien English	Fine Gael	Meath West	Damien_English	63680662	male			Ireland
Johnny Guirke	Sinn Féin	Meath West	JohnnyGuirke	1181512691338354688	male			Ireland
Peadar Tóibín	Aontú	Meath West	Toibin1	48667895	male			Ireland
Claire Kerrane	Sinn Féin	Roscommon–Galway	ClaireKerrane	573535657	female			Ireland
Denis Naughten	independent politician	Roscommon–Galway	DenisNaughten	21811630	male			Ireland
Michael Fitzmaurice	independent politician	Roscommon–Galway	MichaelFitzmau1	2914205799	male			Ireland
Frank Feighan	Fine Gael	Sligo–Leitrim	FrankFeighan	127331013	male			Ireland
Marc MacSharry	independent politician	Sligo–Leitrim	MarcMacsharryTD	243632271	male			Ireland
Marian Harkin	independent politician	Sligo–Leitrim	MarianHarkin	26228880	female			Ireland
Martin Kenny	Sinn Féin	Sligo–Leitrim	Martin_Kenny	121090165	male			Ireland
Alan Kelly	Labour Party	Tipperary	alankellylabour	116422140	male			Ireland
Jackie Cahill	Fianna Fáil	Tipperary	jackiecahillff	3091852973	male			Ireland
Martin Browne	Sinn Féin	Tipperary	Browne4Dail	1207060500934221824	male			Ireland
Mattie McGrath	independent politician	Tipperary	mattiemcgrathtd	121375039	male			Ireland
Michael Lowry	independent politician	Tipperary			male			Ireland
David Cullinane	Sinn Féin	Waterford	davidcullinane	66682393	male			Ireland
Marc Ó Cathasaigh	Green Party	Waterford	MarcKC_Green	146096523	male			Ireland
Mary Butler	Fianna Fáil	Waterford	MaryButlerTD	244689557	female			Ireland
Matt Shanahan	independent politician	Waterford	MattShanahanTD	1121809513789759488	male			Ireland
Brendan Howlin	Labour Party	Wexford	BrendanHowlin	4205955087	male			Ireland
James Browne	Fianna Fáil	Wexford	JamesBrowneTD	319686489	male			Ireland
