name	acronym	region	uri
Britain First		Britain	https://en.wikipedia.org/wiki/Britain_First
Britannica Party		Britain	https://en.wikipedia.org/wiki/Britannica_Party
British Democrats	BDP	Britain	https://en.wikipedia.org/wiki/British_Democratic_Party_(2013)
British Empire Party		Britain	https://en.wikipedia.org/wiki/British_Empire_Party
British First Party		Britain	https://en.wikipedia.org/wiki/November_9th_Society
British League of Ex-Servicemen and Women		Britain	https://en.wikipedia.org/wiki/British_League_of_Ex-Servicemen_and_Women
British Movement		Britain	https://en.wikipedia.org/wiki/British_Movement
British National Party	BNP	Britain	https://en.wikipedia.org/wiki/British_National_Party
British National Socialist Movement	BNSM	Britain	https://en.wikipedia.org/wiki/British_Movement
British Peoples' Party	BPP	Britain	https://en.wikipedia.org/wiki/British_People%27s_Party_(2005)
Constitutional Movement		Britain	https://en.wikipedia.org/wiki/Constitutional_Movement
England First Party	EFP	Britain	https://en.wikipedia.org/wiki/England_First_Party
English National Association	ENA	Britain	https://en.wikipedia.org/wiki/English_National_Association
Flag Group		Britain	https://en.wikipedia.org/wiki/Flag_Group
Greater Britain Movement		Britain	https://en.wikipedia.org/wiki/Greater_Britain_Movement
International Third Position	ITP	Britain	https://en.wikipedia.org/wiki/International_Third_Position
League of Empire Loyalists	LEL	Britain	https://en.wikipedia.org/wiki/League_of_Empire_Loyalists
National Action		Britain	https://en.wikipedia.org/wiki/National_Action_(UK)
National Democratic Party	NDP	Britain	https://en.wikipedia.org/wiki/National_Democratic_Party_(UK,_1966)
National Democrats	ND	Britain	https://en.wikipedia.org/wiki/National_Democrats_(United_Kingdom)
National Front	NF	Britain	https://en.wikipedia.org/wiki/National_Front_(United_Kingdom)
National Independence Party		Britain	https://en.wikipedia.org/wiki/National_Independence_Party_(UK)
National Labour Party	NLP	Britain	https://en.wikipedia.org/wiki/National_Labour_Party_(UK,_1957)
National Party	NP	Britain	https://en.wikipedia.org/wiki/National_Party_(UK,_1976)
National Socialist Movement	NSM	Britain	https://en.wikipedia.org/wiki/National_Socialist_Movement_(United_Kingdom)
Nationalist Alliance		Britain	https://en.wikipedia.org/wiki/Nationalist_Alliance
Nationalist Party		Britain	https://en.wikipedia.org/wiki/Constitutional_Movement
New Nationalist Party		Britain	https://en.wikipedia.org/wiki/New_Nationalist_Party
November 9th Society	N9S	Britain	https://en.wikipedia.org/wiki/November_9th_Society
Official National Front	ONF	Britain	https://en.wikipedia.org/wiki/Official_National_Front
Patriotic Alternative	PA	Britain	https://en.wikipedia.org/wiki/Patriotic_Alternative
Racial Preservation Society	RPS	Britain	https://en.wikipedia.org/wiki/Racial_Preservation_Society
The British Hand		Britain	
Union Movement		Britain	https://en.wikipedia.org/wiki/Union_Movement
White Defence League	WDL	Britain	https://en.wikipedia.org/wiki/White_Defence_League
White Nationalist Party	WNP	Britain	https://en.wikipedia.org/wiki/White_Nationalist_Party
